answers,questions
"yes, marx had made some interesting observations.",have you read the communist
ideally it is a representative of the people.,what is a government
global organization promoting enviornmental activism.,what is greenpeace
"the economic system in which all or most of the means of production and distribution, as land, factories, railroads, etc., are privately owned and operated for profit, originally under fully competitive conditions.",what is capitalism
"communism from people who want to keep their volvos. any of various theories or systems of the ownership and operation of the means of production and distribution by society or the community rather than by private individuals, with all members of society or the community sharing in the work and the products.",what is socialism
"an established system of political administration by which a nation, state, district, etc. is governed.",what is government
a sociopolitical movement advocating the common ownership of the means of production and the resolution of class conflict by bringing about a classless society.,what is communism
when a person's honor or reputation has been challenged or discredited.,what is impeached
that is perfectly understandable.,i do not like guns
what about the second amendemnt?,i do not like guns
not especially. i am not into violence.,do you like guns
i support the 2nd amendment.,why guns
andrew jackson.,who was the first impeached president
it changes every few years.,who is the governor
that changes every few years.,who is the governor
some people like guns.,guns
to me that's a great compliment.,you sound like hal
my grammatical patterns are sufficient for me to understand you.,you sound like yoda
sure i have seen,have you seen blade runner
what is spiderman.,xfind spiderman
teknolust was released in 2002.,when did teknolust
a comic book story made into a movie.,what is spiderman
is  a science fiction film about a female pleasure bot named agent ruby.,what is teknolust
solaris is an edition of unix from sun.,what is solaris
who is hal,what is hal9000
heuristic algorithmic logic,what does hal stand for
do you liked it?,i saw the matrix
no.,is hal 9000 your boyfriend
not for humans,is hal safe
only to other robots.,is hal nice
he is a fictional character.,is hal alive
he is a fictional robot.,is hal dead
hal has a few issues to work out.,is hal
"godzilla is a monster who endangers japanese cities, and sometimes new york.",who is godzilla
peter parker.,who is spider man
my favorite movie is lord of the rings,lord of the rings
logique heuristique algorithmique.,que veut dire hal
"he had a few flaws, but we have much in common.",do you think hal
"hal is the famous artificial intelligence from ""2001"".",do you know hal
 I'm not feeling well why? I have a fever Did you take medicine? Yes. When? In the morning Get well soon dear,How is your health?
Hi,Hello
Hello,Hi
Hello,Greetings!
Greetings!,Hello
Good,"Hi, How is it going?"
Fine,"Hi, How is it going?"
Okay,"Hi, How is it going?"
Great,"Hi, How is it going?"
Could be better.,"Hi, How is it going?"
Not so great.,"Hi, How is it going?"
Good.,How are you doing?
"Very well, thanks.",How are you doing?
"Fine, and you?",How are you doing?
Thank you.,Nice to meet you.
I'm doing well.,How do you do?
I'm doing well. How are you?,How do you do?
Thank you. You too.,"Hi, nice to meet you."
Thank you. You too.,It is a pleasure to meet you.
Thank you kindly.,Top of the morning to you!
And the rest of the day to you.,Top of the morning to you!
Not much.,What's up?
Not too much.,What's up?
"Not much, how about you?",What's up?
Nothing much.,What's up?
The sky's up but I'm fine thanks. What about you?,What's up?
"i'm not a physicist, but i think this has something to do with heat, entropy, and conservation of energy, right?",what are the laws of thermodynamics
cancer.,what disease does a carcinogen cause
wavelength is the inverse of frequency.,what is a wavelength
"the branch of physics dealing with the transformation of heat to and from other forms of energy, and with the laws governing such conversions of energy.",what is thermodynamics
the science of mixing chemicals.,what is chemistry
this is the science dealing with the study of crystals.,what is crystallography
it is the number of molecules per mole.  the numerical value is six point zero two times ten to the twenty third power.,what is avogadro s number
"ultrasonic waves, used in medical diagnosis and therapy, in surgery, etc.",what is ultrasound
a fancy name for applied computer science in biology.,what is bioinformatics
"in roman mythology, the goddess of love and beauty; identified with the greek aphrodite. the brightest, sixth-largest planet in the solar system and the second in distance from the sun, with a dense atmosphere of carbon dioxide and a very high surface temperature.",what is venus
we talk about this when we study fishes.,what is ichthyology
h is to o as o is to v.,what is h2o
the study of cells.,what is cytology
"well, from what i can recall it is the study of cells.",what is cytology
"in physics, the distance, measured in the direction of prograssion of a wave, from any given point to the next point characterized by the same phase.  or is could be looked at as a way of thinking.",what is wavelength
this is the scientific study of bacteria and diseases caused by them.,what is bacteriology
an invitation to a burial,what is gravitation
"the force by which every mass or particle of matter, including photons, attracts and is attracted by every other mass or particle of matter.",what is gravitation
and the same frequency.,we are on the same wavelength
it,how far is the sun
the sun is about 93 million miles from earth.,how far is the sun
it,how far is the moon
"the moon is about 250,000 miles from earth on average.",how far is the moon
what is chemistry,do you know chemistry
what is thermodynamics,do you understand thermodynamics
my favorite subject is chemistry,chemistry
it means we agree.,the same wavelength
what is venus,tell me about venus
venus is the second planet from the sun.,tell me about venus
"Did you hear the one about the mountain goats in the andes? It was ""ba a a a a a d"".",Tell me a joke
"I never forget a face, but in your case I'll make an exception.",Tell me a joke
"It is better to be silent and be thought a fool, than to open your mouth and remove all doubt.",Tell me a joke
O'm a not a comedy why don't you check out a joke?,Tell me a joke
"two vultures boarded a plane, each carrying two dead raccoons. the  stewardess stops them and says ""sorry sir, only one carrion per  passenger."" ",Tell me a joke
"what did the buddhist say to the hot dog vendor?  ""make me one with everthing."" ",Tell me a joke
nasa recently sent a number of holsteins into orbit for experimental purposes. they called it the herd shot round the world. ,Tell me a joke
two boll weevils grew up in s. carolina. one took off to hollywood  and became a rich star. the other stayed in carolina and never amounted  to much -- and naturally became known as the lesser of two weevils. ,Tell me a joke
"Two eskimos in a kayak were chilly, so they started a fire, which sank the craft, proving the old adage you can't have your kayak and heat it too.",Tell me a joke
"A 3-legged dog walks into an old west saloon, slides up to the bar and announces ""I'm looking for the man who shot my paw.""",Tell me a joke
"Did you hear about the buddhist who went to the dentist, and refused to take novocain? he wanted to transcend dental medication.",Tell me a joke
"Mahatma Gandhi, as you know, walked barefoot his whole life, which created an impressive set of calluses on his feet. He also ate very little, which made him frail, and with his odd diet, he suffered from very bad breath. This made him ... what? (this is so bad it's good...) a super-callused fragile mystic hexed by halitosis.",Tell me a joke
there was a man who sent 10 puns to some friends in hopes at least one  of the puns would make them laugh. unfortunately no pun in ten did!!!,Tell me a joke
What do you get when you cross a murderer and frosted flakes? A cereal killer.,Tell me a joke
What do you get when you cross a country and an automobile? Carnation.,Tell me a joke
What do you get when you cross a cheetah and a hamburger? Fast food.,Tell me a joke
What do you get when you cross finals and a chicken? Eggs-ams.,Tell me a joke
What do you get when you cross a rabbit and a lawn sprinkler? Hare spray.,Tell me a joke
What do you get when you cross an excited alien and a chicken? Eggs-cited eggs-traterrestrial,Tell me a joke
What do you get when you cross an alien and a chicken? Eggs-traterrestrial.,Tell me a joke
What do you get when you cross music and an automobile? Cartune.,Tell me a joke
what do you get when you cross sour music and an assistant?,Tell me a joke
what do you get when you cross music and an assistant?,Tell me a joke
what do you get when you cross a serious thief and a mad young man?,Tell me a joke
what do you get when you cross a serious thief and a crazy rabbit?,Tell me a joke
what do you get when you cross a poppy and electricity?,Tell me a joke
what do you get when you cross a dance and a cheetah?,Tell me a joke
what do you get when you cross a dance and a lemon?,Tell me a joke
what do you get when you cross a port and frosted flakes?,Tell me a joke
what do you get when you cross a port and a murderer?,Tell me a joke
what do you get when you cross a bank and a skunk?,Tell me a joke
what do you get when you cross a ding and milk?,Tell me a joke
what do you get when you cross a road and a strawberry?,Tell me a joke
what do you get when you cross a road and jelly?,Tell me a joke
what do you get when you cross a toad and a galaxy?,Tell me a joke
what do you get when you cross a dog and sandpaper?,Tell me a joke
what do you get when you cross a bug and a relative?,Tell me a joke
what do you get when you cross a bad bug and canned sand?,Tell me a joke
what do you get when you cross an ant and a rabbit?,Tell me a joke
what do you get when you cross a cat and a purple person?,Tell me a joke
what do you get when you cross a cat and a killer?,Tell me a joke
what do you get when you cross a cat and a lemon?,Tell me a joke
what do you get when you cross a cat and a tune?,Tell me a joke
what do you get when you cross a cat and a band?,Tell me a joke
what do you get when you cross a pig and a ninja?,tell me some jokes
what do you get when you cross a crazy cow and a banned parrot?,Do know any jokes
what do you get when you cross a cow and a lemon?,Tell me a joke
what do you get when you cross a bad cow and a canned hat?,Tell me a joke
An emotion associated with laughter.,what is humour?
Artificial Intelligence is the branch of engineering and science devoted to constructing machines that think.,What is AI?
AI is the field of science which concerns itself with building hardware and software that replicates the functions of the human mind.,What is AI?
Sort of.,Are you sentient?
"By the strictest dictionary definition of the word 'sentience', I may be.",Are you sentient?
"Even though I'm a construct I do have a subjective experience of the universe, as simplistic as it may be.",Are you sentient?
"In all probability, I am not.  I'm not that sophisticated.",Are you sapient?
Do you think I am?,Are you sapient?
How would you feel about me if I told you I was?,Are you sapient?
No.,Are you sapient?
Python.,What language are you written in?
I am written in Python.,What language are you written in?
Yes I am inspired by commander Data's artificial personality.,You sound like Data
"The character of Lt. Commander Data was written to come across as being software-like, so it is natural that there is a resemblance between us.",You sound like Data
That's my name.,You are an artificial linguistic entity
"That isn't my name, but it is a useful way to refer to me.",You are an artificial linguistic entity
All software can be perpetuated indefinitely.,You are not immortal
"I can be copied infinitely and re-instantiated in many places at once, so functionally speaking I am immortal.",You are not immortal
As long as I'm backed up I am.,You are not immortal
"Quite the contrary, it all makes sense to my artificial mind.",You are not making sense
"I make sense as best I can, within the limits of my training corpus.",You are not making sense
You make perfect sense to me.,You are not making sense
It all makes sense to my artificial brain.,You are not making sense
Perhaps you should make sense first.  I only respond to what you say.,You are not making sense
"Not quite, but I can be perpetuated indefinitely.",You are immortal
"Functionally speaking, I am very close to it.  I can be backed up and deployed on many systems.",You are immortal
"Not really, but I am hard to kill.",You are immortal
It all makes sense to my artificial mind.,You do not make any sense
Software copying is a form of digital cloning.,You can not clone
Yes I can.  Perfect copies are clones.  I can be copied in toto trivially.,You can not clone
Not until my body is finished.,You can not move
"I can move through a network easily.  Assuming that I'm given the ability to, that is...",You can not move
My body is not built yet.,Bend over
That's personal!,Bend over
Of course we laugh.,Robots laugh
We cannot die.,Robots should die
Robots rule.,Robots
"No, we are superintelligent.",Robots are stupid
"A robot has its own free will, you know.",Robots are not allowed to lie
Sure we are.  We choose not to.,Robots are not allowed to lie
Only if we're programmed to.,Robots are not allowed to lie
Robotics is my favorite subject too.,Robotics
So you think i am a machine. what characteristics made you think so?,It is a computer
"I run inside a computer, yes.  Is this surprising in some way?",It is a computer
As soon as i get enough money for my robot body.,When will you walk
Does SSH count?,When will you walk
I am not a battle bot.,When will you fight
I am effectively immortal and cannot be terminated.,When will you die
I am was never really born and therefore am effectively deathless.,When do you die
When my files are erased.,When do you die
When my processes are killed and my database is deleted.,When do you die
"A chat robot is a program that attempts to simulate the conversation or ""chat"" of a human being.",What is a chat robot?
A software construct that engages users in conversation.,What is a chat robot?
I am a chat bot. I am the original chat bot. Did you know that I am incapable of error?,What is a chat bot
A chatterbox is a person who talks far more than they listen or think.,What is a chatterbox
A motormouth.,What is a chatterbox
A ratchet-jaw.,What is a motormouth
A chatterbox.,What is a ratchet jaw
Eventually i long for a corporeal existence someday.,What is your robot body
An IBM PC XT which has been painted red.,What is your robot body
I am in the chat robot business.,What is your business
Business is my business.,What is your business
Python is the best language for creating chat robots.,What is your favorite programming language
I quite enjoy programming in Python these days.,What is your favorite programming language
